"","pb_concentration","pb_error1s","test_label","info","category","level","plot_row","plot_col"
"1",119,6,3,"G2D","normal","subsurface","G","2"
"2",229,11,4,"F7D","normal","subsurface","F","7"
"3",80,5,5,"B2D","normal","subsurface","B","2"
"4",128,6,6,"E1T","normal","topsoil","E","1"
"5",97,5,7,"A7D","normal","subsurface","A","7"
"6",84,5,8,"F7T","normal","topsoil","F","7"
"7",129,6,9,"A4T","normal","topsoil","A","4"
"8",122,6,10,"A5T","normal","topsoil","A","5"
"9",78,5,11,"D3D","normal","subsurface","D","3"
"10",127,6,12,"B1T","normal","topsoil","B","1"
"11",153,7,13,"A6T","normal","topsoil","A","6"
"12",124,6,14,"B2T","normal","topsoil","B","2"
"13",105,6,15,"RB1D","raised_bed","subsurface",NA,NA
"14",77,5,16,"RB2T","raised_bed","topsoil",NA,NA
"15",118,6,17,"G1D","normal","subsurface","G","1"
"16",167,7,18,"D1T","normal","topsoil","D","1"
"17",119,6,19,"C7T","normal","topsoil","C","7"
"18",165,7,20,"D5T","normal","topsoil","D","5"
"19",168,7,21,"A4D","normal","subsurface","A","4"
"20",109,6,22,"D5D","normal","subsurface","D","5"
"21",107,6,23,"A2T","normal","topsoil","A","2"
"22",99,6,24,"B1D","normal","subsurface","B","1"
"23",70,5,25,"A2D","normal","subsurface","A","2"
"24",114,5,26,"A1T","normal","topsoil","A","1"
"25",90,5,27,"F6T","normal","topsoil","F","6"
"26",121,6,28,"G5T","normal","topsoil","G","5"
"27",171,7,29,"A1D","normal","subsurface","A","1"
"28",164,7,30,"D7D","normal","subsurface","D","7"
"29",120,6,31,"A6D","normal","subsurface","A","6"
"30",124,7,32,"A5D","normal","subsurface","A","5"
"31",113,5,33,"C7D","normal","subsurface","C","7"
"32",103,6,34,"G4T","normal","topsoil","G","4"
"33",88,5,35,"C4D","normal","subsurface","C","4"
"34",62,4,36,"RB1T","raised_bed","topsoil",NA,NA
"35",113,5,37,"C6T","normal","topsoil","C","6"
"36",104,5,38,"A7T","normal","topsoil","A","7"
"37",189,7,39,"D6T","normal","topsoil","D","6"
"38",111,6,40,"G2T","normal","topsoil","G","2"
"39",201,7,41,"D7T","normal","topsoil","D","7"
"40",95,5,42,"C2T","normal","topsoil","C","2"
"41",88,5,43,"C5D","normal","subsurface","C","5"
"42",113,6,44,"G1T","normal","topsoil","G","1"
"43",143,6,45,"G4D","normal","subsurface","G","4"
"44",105,6,46,"C5T","normal","topsoil","C","5"
"45",71,4,47,"F6D","normal","subsurface","F","6"
"46",78,5,48,"D6D","normal","subsurface","D","6"
"47",120,6,49,"G3D","normal","subsurface","G","3"
"48",142,6,50,"C1T","normal","topsoil","C","1"
"49",74,5,51,"E2D","normal","subsurface","E","2"
"50",99,5,52,"RB2D","raised_bed","subsurface",NA,NA
"51",162,7,53,"E7D","normal","subsurface","E","7"
"52",129,6,54,"E3T","normal","topsoil","E","3"
"53",92,5,55,"C2D","normal","subsurface","C","2"
"54",66,4,56,"E6D","normal","subsurface","E","6"
"55",119,6,57,"G3T","normal","topsoil","G","3"
"56",119,6,58,"E6T","normal","topsoil","E","6"
"57",90,5,59,"C1D","normal","subsurface","C","1"
"58",80,5,60,"D1D","normal","subsurface","D","1"
"59",161,6,61,"E7T","normal","topsoil","E","7"
"60",94,5,62,"C6D","normal","subsurface","C","6"
"61",136,6,63,"D3T","normal","topsoil","D","3"
"62",69,5,64,"E1D","normal","subsurface","E","1"
"63",78,5,65,"E3D","normal","subsurface","E","3"
"64",101,5,66,"D2T","normal","topsoil","D","2"
"65",109,5,67,"D2D","normal","subsurface","D","2"
"66",113,6,68,"E2T","normal","topsoil","E","2"
"67",115,5,69,"C4T","normal","topsoil","C","4"
"68",0,93,70,"greens1","produce",NA,NA,NA
"69",94,9,71,"greens2","produce",NA,NA,NA
